time,TAMB,seno_mes,cos_mes,media_movel_3m,media_movel_12m,std_movel_3m,std_movel_12m,TARGET
1995-01-01,27.651612903225807,0.49999999999999994,0.8660254037844387,26.38706093189964,24.12170122887865,1.277669141852709,2.719612922659016,26.682142857142857
1995-02-01,26.682142857142857,0.8660254037844386,0.5000000000000001,26.915552995391703,23.93985599078341,0.6515064356635546,2.431351670146064,26.093548387096774
1995-03-01,26.093548387096774,1.0,6.123233995736766e-17,26.80910138248848,23.97749039938556,0.7867528897140955,2.4633772186640144,24.116666666666667
1995-04-01,24.116666666666667,0.8660254037844387,-0.4999999999999998,25.6307859703021,23.98110151049667,1.3438857138065148,2.4635622437966918,22.47741935483871
1995-05-01,22.47741935483871,0.49999999999999994,-0.8660254037844387,24.22921146953405,23.87303699436764,1.8106896597634394,2.5016111547337565,21.223333333333336
1995-06-01,21.223333333333336,1.2246467991473532e-16,-1.0,22.605806451612903,23.899148105478748,1.4509331064553037,2.4692987934413106,21.9
1995-07-01,21.9,-0.4999999999999997,-0.8660254037844388,21.866917562724012,23.977105094726067,0.6276971985566863,2.381432010912471,22.774193548387096
1995-08-01,22.774193548387096,-0.8660254037844385,-0.5000000000000004,21.965842293906814,24.15613735279058,0.7775237986128528,2.178710328454054,22.336666666666666
1995-09-01,22.336666666666666,-1.0,-1.8369701987210297e-16,22.33695340501792,24.192526241679463,0.43709684473190996,2.1409215020348893,22.096774193548388
1995-10-01,22.096774193548388,-0.8660254037844386,0.5000000000000001,22.402544802867382,24.071827316948287,0.3434809924864923,2.220099714354654,23.383333333333333
1995-11-01,23.383333333333333,-0.5000000000000004,0.8660254037844384,22.605591397849462,23.929049539170506,0.6841410587900475,2.203228468020812,24.596774193548388
1995-12-01,24.596774193548388,-2.4492935982947064e-16,1.0,23.358960573476704,23.777705453149007,1.2501781967252819,2.075787675125574,27.164516129032258
1996-01-01,27.164516129032258,0.49999999999999994,0.8660254037844387,25.048207885304663,23.73711405529954,1.9305906135589392,1.9963920838670977,26.896551724137932
1996-02-01,26.896551724137932,0.8660254037844386,0.5000000000000001,26.219280682239525,23.754981460882462,1.411505122185598,2.0258873630898915,25.88064516129032
1996-03-01,25.88064516129032,1.0,6.123233995736766e-17,26.647237671486835,23.737239525398593,0.6772734219571765,2.0043631786396774,24.596666666666668
1996-04-01,24.596666666666668,0.8660254037844387,-0.4999999999999998,25.791287850698307,23.77723952539859,1.1525434335034992,2.017370911187705,21.225806451612904
1996-05-01,21.225806451612904,0.49999999999999994,-0.8660254037844387,23.901039426523297,23.672938450129777,2.4041222506769313,2.1204067579113173,20.333333333333332
1996-06-01,20.333333333333332,1.2246467991473532e-16,-1.0,22.051935483870967,23.598771783463107,2.2485261086392807,2.226774303449237,19.27741935483871
1996-07-01,19.27741935483871,-0.4999999999999997,-0.8660254037844388,20.278853046594985,23.380223396366333,0.9753354017728264,2.518276146558424,19.81935483870968
1996-08-01,19.81935483870968,-0.8660254037844385,-0.5000000000000004,19.810035842293903,23.133986837226548,0.5280186694291509,2.7193546300740796,20.853333333333335
1996-09-01,20.853333333333335,-1.0,-1.8369701987210297e-16,19.983369175627242,23.010375726115438,0.8006570701240139,2.7916448412119133,22.496774193548386
1996-10-01,22.496774193548386,-0.8660254037844386,0.5000000000000001,21.056487455197132,23.04370905944877,1.3502212034844228,2.782116191853849,23.1
1996-11-01,23.1,-0.5000000000000004,0.8660254037844384,22.150035842293907,23.02009794833766,1.162776156855133,2.7801734701026826,25.299999999999997
1996-12-01,25.299999999999997,-2.4492935982947064e-16,1.0,23.632258064516126,23.07870009887529,1.4754635596723245,2.823502734369,25.729032258064517
1997-01-01,25.729032258064517,0.49999999999999994,0.8660254037844387,24.709677419354836,22.959076442961315,1.4104301526132534,2.660357028226504,26.175
1997-02-01,26.175,0.8660254037844386,0.5000000000000001,25.73467741935484,22.898947132616488,0.4375273144439444,2.569887882613924,24.780645161290323
1997-03-01,24.780645161290323,1.0,6.123233995736766e-17,25.561559139784947,22.80728046594982,0.7121037761927794,2.4716022044019237,23.636666666666667
1997-04-01,23.636666666666667,0.8660254037844387,-0.4999999999999998,24.86410394265233,22.72728046594982,1.271223054352629,2.423486791596555,21.799999999999997
1997-05-01,21.799999999999997,0.49999999999999994,-0.8660254037844387,23.405770609318996,22.775129928315412,1.503677537357958,2.3966666342631266,21.15666666666667
1997-06-01,21.15666666666667,1.2246467991473532e-16,-1.0,22.197777777777777,22.843741039426522,1.2869616817801395,2.331302472807799,21.41290322580645
1997-07-01,21.41290322580645,-0.4999999999999997,-0.8660254037844388,21.456523297491042,23.021698028673836,0.3238772567420467,2.10482790545877,21.26451612903226
1997-08-01,21.26451612903226,-0.8660254037844385,-0.5000000000000004,21.278028673835127,23.14212813620072,0.12865160399395068,1.939820774760305,22.566666666666666
1997-09-01,22.566666666666666,-1.0,-1.8369701987210297e-16,21.748028673835123,23.284905913978495,0.7128329433343402,1.815085756738581,22.94193548387097
1997-10-01,22.94193548387097,-0.8660254037844386,0.5000000000000001,22.257706093189967,23.322002688172045,0.8803558371301726,1.8020155989331184,24.813333333333333
1997-11-01,24.813333333333333,-0.5000000000000004,0.8660254037844384,23.440645161290323,23.464780465949826,1.2034995988954809,1.850061875635926,26.22258064516129
1997-12-01,26.22258064516129,-2.4492935982947064e-16,1.0,24.659283154121866,23.541662186379927,1.6457389713623347,1.9497440364305312,27.080645161290324
1998-01-01,27.080645161290324,0.49999999999999994,0.8660254037844387,26.03885304659498,23.654296594982082,1.1447674891237496,2.1192643326861176,27.099999999999998
1998-02-01,27.099999999999998,0.8660254037844386,0.5000000000000001,26.801075268817204,23.73137992831541,0.5010844985075387,2.2330516959716533,26.60967741935484
1998-03-01,26.60967741935484,1.0,6.123233995736766e-17,26.930107526881716,23.883799283154122,0.2776693047542762,2.3694375559448537,25.17
1998-04-01,25.17,0.8660254037844387,-0.4999999999999998,26.293225806451613,24.011577060931902,1.0031606140005003,2.396093211775787,22.041935483870965
1998-05-01,22.041935483870965,0.49999999999999994,-0.8660254037844387,24.607204301075267,24.03173835125448,2.335298877304715,2.376732412918958,20.163333333333334
1998-06-01,20.163333333333334,1.2246467991473532e-16,-1.0,22.4584229390681,23.9489605734767,2.5291844788449516,2.5000676509764572,20.529032258064515
1998-07-01,20.529032258064515,-0.4999999999999997,-0.8660254037844388,20.911433691756272,23.87530465949821,0.9959717126345724,2.592873824051502,22.629032258064516
1998-08-01,22.629032258064516,-0.8660254037844385,-0.5000000000000004,21.107132616487455,23.989014336917563,1.3306268504586993,2.4960834922090354,22.35666666666667
1998-09-01,22.35666666666667,-1.0,-1.8369701987210297e-16,21.838243727598567,23.97151433691756,1.1419596130397898,2.50767135410829,22.36774193548387
1998-10-01,22.36774193548387,-0.8660254037844386,0.5000000000000001,22.451146953405015,23.92366487455197,0.15415268925706235,2.5344382607079536,22.61
1998-11-01,22.61,-0.5000000000000004,0.8660254037844384,22.444802867383515,23.74005376344086,0.14317204637555653,2.5439196532720882,25.593548387096774
1998-12-01,25.593548387096774,-2.4492935982947064e-16,1.0,23.52376344086021,23.68763440860215,1.7965743889987957,2.4941081182670226,26.583870967741937
1999-01-01,26.583870967741937,0.49999999999999994,0.8660254037844387,24.929139784946234,23.646236559139783,2.0685723845261803,2.436118880832214,26.90357142857143
1999-02-01,26.90357142857143,0.8660254037844386,0.5000000000000001,26.360330261136713,23.62986751152074,0.6830211767806837,2.4113361142466676,25.896774193548385
1999-03-01,25.896774193548385,1.0,6.123233995736766e-17,26.461405529953918,23.5704589093702,0.5144497115384977,2.338943169441625,23.886666666666667
1999-04-01,23.886666666666667,0.8660254037844387,-0.4999999999999998,25.56233742959549,23.46351446492575,1.5360060375576055,2.287941053822787,21.358064516129033
1999-05-01,21.358064516129033,0.49999999999999994,-0.8660254037844387,23.71383512544803,23.40652521761393,2.2742854790472147,2.33461066092685,20.39
1999-06-01,20.39,1.2246467991473532e-16,-1.0,21.87824372759857,23.425414106502814,1.8054387980427848,2.3067357027942417,20.316129032258065
1999-07-01,20.316129032258065,-0.4999999999999997,-0.8660254037844388,20.68806451612903,23.407672171018948,0.581411411969763,2.331721450962471,19.951612903225808
1999-08-01,19.951612903225808,-0.8660254037844385,-0.5000000000000004,20.219247311827957,23.184553891449056,0.23470271082696076,2.532459431999911,21.87
1999-09-01,21.87,-1.0,-1.8369701987210297e-16,20.712580645161292,23.1439983358935,1.0187898086933809,2.550753474448239,21.029032258064515
1999-10-01,21.029032258064515,-0.8660254037844386,0.5000000000000001,20.95021505376344,23.03243919610855,0.9616191434438598,2.61622452422402,21.95
1999-11-01,21.95,-0.5000000000000004,0.8660254037844384,21.616344086021503,22.97743919610855,0.5101974004672566,2.6327976497794565,24.496774193548386
1999-12-01,24.496774193548386,-2.4492935982947064e-16,1.0,22.491935483870964,22.886041346646184,1.796268099223256,2.5515052036033183,25.94516129032258
2000-01-01,25.94516129032258,0.49999999999999994,0.8660254037844387,24.13064516129032,22.832815540194574,2.0225890054876774,2.472801906002754,25.624137931034483
2000-02-01,25.624137931034483,0.8660254037844386,0.5000000000000001,25.35535780496848,22.726196082066494,0.7606828265785477,2.303086004991614,25.067741935483873
2000-03-01,25.067741935483873,1.0,6.123233995736766e-17,25.545680385613647,22.65711006056112,0.44394016588554913,2.2098797477055245,23.936666666666667
2000-04-01,23.936666666666667,0.8660254037844387,-0.4999999999999998,24.87618217772834,22.661276727227783,0.8598902096257849,2.2124544334246976,21.72258064516129
2000-05-01,21.72258064516129,0.49999999999999994,-0.8660254037844387,23.575663082437277,22.69165307131381,1.7015489136189863,2.1953715034498513,20.926666666666666
2000-06-01,20.926666666666666,1.2246467991473532e-16,-1.0,22.19530465949821,22.736375293536028,1.55968778776331,2.149202508368062,19.44516129032258
2000-07-01,19.44516129032258,-0.4999999999999997,-0.8660254037844388,20.698136200716846,22.663794648374736,1.155780844212594,2.2506780370454287,20.335483870967742
2000-08-01,20.335483870967742,-0.8660254037844385,-0.5000000000000004,20.235770609318998,22.695783895686564,0.7457691304588974,2.2110032565448825,21.533333333333335
2000-09-01,21.533333333333335,-1.0,-1.8369701987210297e-16,20.43799283154122,22.66772834013101,1.0478533702532828,2.2245288837729738,24.370967741935484
2000-10-01,24.370967741935484,-0.8660254037844386,0.5000000000000001,22.07992831541219,22.946222963786923,2.0725243241118867,2.209870519608014,24.323333333333334
2000-11-01,24.323333333333334,-0.5000000000000004,0.8660254037844384,23.409211469534053,23.1440007415647,1.6247326997471219,2.218791338288435,25.683870967741935
